school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Palmyra (Northwestern),Palmyra,public,False,False,0.0,0.0,93.0,39.4227,-90.0311,,,1A,1A,,,,,,,,,,,,,,,
Palos Heights (Chicago Christian),Palos Heights,private,True,False,3.0,8.0,302.0,41.6621,-87.7927,1A,1A,1A,,1A,1A,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,2A,1A
Palos Heights (Shepard),Palos Heights,public,False,False,0.0,0.0,1809.0,41.6621,-87.7927,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Palos Hills (Stagg),Palos Hills,public,False,False,0.0,0.0,2517.0,41.7004,-87.8263,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Pana,Pana,public,False,False,0.0,0.0,385.0,39.3971,-89.1048,,,1A,1A,1A,,2A,2A,2A,1A,,1A,,2A,2A,1A,,1A,1A
Paris,Paris,public,False,False,0.0,0.0,528.0,39.6132,-87.6976,1A,1A,2A,,,1A,2A,2A,2A,1A,,2A,1A,2A,2A,,1A,2A,2A
Park Ridge (Maine East),Park Ridge,public,False,False,0.0,0.0,1952.0,42.0122,-87.8417,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Park Ridge (Maine South),Park Ridge,public,False,False,0.0,0.0,2476.0,42.0122,-87.8417,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Patoka,Patoka,public,False,False,0.0,0.0,59.0,38.7549,-89.0942,,,,,,,1A,1A,,,,,,,,,,1A,1A
Pawnee,Pawnee,public,False,False,0.0,0.0,160.0,39.6086,-89.5678,,,,,,,1A,1A,2A,,,1A,,1A,1A,,,1A,1A
Paxton (P.-Buckley-Loda),Paxton,public,False,False,0.0,0.0,373.0,40.4565,-88.099,1A,1A,,,,,2A,2A,2A,1A,,1A,,2A,2A,,,1A,1A
Payson (Seymour),Payson,public,False,False,0.0,0.0,146.0,39.8153,-91.2627,,,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Pearl City,Pearl City,public,False,False,0.0,0.0,146.0,42.261,-89.8393,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,
Pecatonica,Pecatonica,public,False,False,0.0,0.0,299.0,42.3051,-89.3472,,,1A,1A,1A,,1A,1A,1A,,,1A,,2A,1A,1A,,2A,2A
Pekin,Pekin,public,False,False,0.0,0.0,1675.0,40.5652,-89.6384,3A,3A,3A,2A,2A,2A,4A,4A,4A,3A,2A,2A,2A,4A,4A,2A,2A,3A,3A
